"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"641",641,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13.41099929,"µg/m3","2014-12-19 00:00:00 +01:00","2014-12-20 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"642",642,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.7159996,"µg/m3","2014-11-02 00:00:00 +01:00","2014-11-03 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"643",643,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12.45899868,"µg/m3","2014-09-21 00:00:00 +01:00","2014-09-22 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"644",644,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.81200027,"µg/m3","2014-09-20 00:00:00 +01:00","2014-09-21 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"645",645,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.09599876,"µg/m3","2014-04-14 00:00:00 +01:00","2014-04-15 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"646",646,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18.8979988,"µg/m3","2014-09-19 00:00:00 +01:00","2014-09-20 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"647",647,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.217,"µg/m3","2014-10-11 00:00:00 +01:00","2014-10-12 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"648",648,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17.95999908,"µg/m3","2014-10-01 00:00:00 +01:00","2014-10-02 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"649",649,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13.01200008,"µg/m3","2014-10-02 00:00:00 +01:00","2014-10-03 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"650",650,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",5.84399938,"µg/m3","2014-05-16 00:00:00 +01:00","2014-05-17 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"651",651,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15.322999,"µg/m3","2014-10-15 00:00:00 +01:00","2014-10-16 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"652",652,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15.84099864,"µg/m3","2014-10-17 00:00:00 +01:00","2014-10-18 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"653",653,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.95699882,"µg/m3","2014-11-17 00:00:00 +01:00","2014-11-18 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"654",654,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",21.63099861,"µg/m3","2014-11-20 00:00:00 +01:00","2014-11-21 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"655",655,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18.18999862,"µg/m3","2014-12-05 00:00:00 +01:00","2014-12-06 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"656",656,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",27.31299781,"µg/m3","2014-12-14 00:00:00 +01:00","2014-12-15 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"657",657,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",20.71699905,"µg/m3","2014-12-20 00:00:00 +01:00","2014-12-21 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"658",658,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",28.82399749,"µg/m3","2014-12-23 00:00:00 +01:00","2014-12-24 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"659",659,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19.59799957,"µg/m3","2014-12-31 00:00:00 +01:00","2015-01-01 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"660",660,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.6970005,"µg/m3","2014-01-31 00:00:00 +01:00","2014-02-01 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"661",661,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",41.4659996,"µg/m3","2014-02-06 00:00:00 +01:00","2014-02-07 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
