"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"991",991,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",32.29999922,"µg/m3","2015-03-14 00:00:00 +01:00","2015-03-15 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"992",992,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",45.20000076,"µg/m3","2015-03-15 00:00:00 +01:00","2015-03-16 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"993",993,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",54.70000076,"µg/m3","2015-03-24 00:00:00 +01:00","2015-03-25 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"994",994,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",42.40000152,"µg/m3","2015-03-25 00:00:00 +01:00","2015-03-26 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"995",995,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",44.79999922,"µg/m3","2015-03-19 00:00:00 +01:00","2015-03-20 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"996",996,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",50.29999922,"µg/m3","2015-03-22 00:00:00 +01:00","2015-03-23 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"997",997,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",51.5,"µg/m3","2015-03-17 00:00:00 +01:00","2015-03-18 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"998",998,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12.39999961,"µg/m3","2015-03-27 00:00:00 +01:00","2015-03-28 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"999",999,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19.3999996,"µg/m3","2015-03-29 00:00:00 +01:00","2015-03-30 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
"1000",1000,"AT","AT.0008.20.AQ","NET.06","STA.06.164","AT60164","SPO.06.164.55471.5.1","SPP.06.164.55471.5.1.4673","SAM.06.164.55471.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11.10000038,"µg/m3","2015-04-03 00:00:00 +01:00","2015-04-04 00:00:00 +01:00",1,1,"Graz Don Bosco","Traffic","urban",15.417789,47.055553,358
