"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"28",28,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",55.73499679,"µg/m3","2013-03-27 00:00:00 +01:00","2013-03-28 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"29",29,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19.63199996,"µg/m3","2013-03-14 00:00:00 +01:00","2013-03-15 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"30",30,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13.60599899,"µg/m3","2013-03-16 00:00:00 +01:00","2013-03-17 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"31",31,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.71699905,"µg/m3","2013-03-12 00:00:00 +01:00","2013-03-13 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"32",32,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.49999904,"µg/m3","2013-03-11 00:00:00 +01:00","2013-03-12 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"33",33,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13.15899944,"µg/m3","2013-03-08 00:00:00 +01:00","2013-03-09 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"34",34,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18.1819992,"µg/m3","2013-03-05 00:00:00 +01:00","2013-03-06 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"35",35,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",35.8030014,"µg/m3","2013-03-04 00:00:00 +01:00","2013-03-05 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"36",36,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17.17599868,"µg/m3","2013-10-28 00:00:00 +01:00","2013-10-29 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"37",37,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",36.53300094,"µg/m3","2013-03-02 00:00:00 +01:00","2013-03-03 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"38",38,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",43.05999755,"µg/m3","2013-02-28 00:00:00 +01:00","2013-03-01 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"39",39,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",36.85300064,"µg/m3","2013-03-01 00:00:00 +01:00","2013-03-02 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"40",40,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",57.07399749,"µg/m3","2013-02-12 00:00:00 +01:00","2013-02-13 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"41",41,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.05399894,"µg/m3","2013-02-11 00:00:00 +01:00","2013-02-12 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"42",42,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",52.685997,"µg/m3","2013-02-14 00:00:00 +01:00","2013-02-15 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"43",43,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15.62199974,"µg/m3","2013-02-09 00:00:00 +01:00","2013-02-10 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"44",44,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16.17000007,"µg/m3","2013-02-08 00:00:00 +01:00","2013-02-09 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"45",45,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11.29499912,"µg/m3","2013-02-03 00:00:00 +01:00","2013-02-04 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"46",46,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12.75999927,"µg/m3","2013-02-06 00:00:00 +01:00","2013-02-07 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"47",47,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",31.87599945,"µg/m3","2013-02-05 00:00:00 +01:00","2013-02-06 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"48",48,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",45.76699829,"µg/m3","2013-02-26 00:00:00 +01:00","2013-02-27 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"49",49,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",52.93999862,"µg/m3","2013-02-23 00:00:00 +01:00","2013-02-24 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"50",50,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.83199882,"µg/m3","2013-02-18 00:00:00 +01:00","2013-02-19 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"51",51,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15.94199943,"µg/m3","2013-02-20 00:00:00 +01:00","2013-02-21 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"52",52,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.0929985,"µg/m3","2013-02-21 00:00:00 +01:00","2013-02-22 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"53",53,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",40.63899612,"µg/m3","2013-02-16 00:00:00 +01:00","2013-02-17 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"54",54,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8.73099994,"µg/m3","2013-05-10 00:00:00 +01:00","2013-05-11 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"55",55,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",6.1459999,"µg/m3","2013-04-28 00:00:00 +01:00","2013-04-29 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
