"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1357",1357,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",33,"µg/m3","2016-09-28 00:00:00 +01:00","2016-09-29 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1358",1358,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",22,"µg/m3","2016-09-29 00:00:00 +01:00","2016-09-30 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1359",1359,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",26,"µg/m3","2016-09-30 00:00:00 +01:00","2016-10-01 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1360",1360,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",21,"µg/m3","2016-10-01 00:00:00 +01:00","2016-10-02 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1361",1361,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16,"µg/m3","2016-10-02 00:00:00 +01:00","2016-10-03 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1362",1362,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8,"µg/m3","2016-10-03 00:00:00 +01:00","2016-10-04 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1363",1363,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16,"µg/m3","2016-10-04 00:00:00 +01:00","2016-10-05 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1364",1364,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10,"µg/m3","2016-10-05 00:00:00 +01:00","2016-10-06 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1365",1365,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",7,"µg/m3","2016-10-06 00:00:00 +01:00","2016-10-07 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
"1366",1366,"AT","AT.0008.20.AQ","NET.04","STA.04.S416","AT4S416","SPO.04.S416.4548.5.1","SPP.04.S416.4548.5.1.2273","SAM.04.S416.4548.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11,"µg/m3","2016-10-07 00:00:00 +01:00","2016-10-08 00:00:00 +01:00",1,1,"Linz Neue Welt","Background","urban",14.314736,48.274445,265
