"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"291",291,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13,"µg/m3","2013-06-11 00:00:00 +01:00","2013-06-12 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"292",292,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19,"µg/m3","2013-06-09 00:00:00 +01:00","2013-06-10 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"293",293,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",21,"µg/m3","2013-06-08 00:00:00 +01:00","2013-06-09 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"294",294,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-06-07 00:00:00 +01:00","2013-06-08 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"295",295,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-06-06 00:00:00 +01:00","2013-06-07 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"296",296,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19,"µg/m3","2013-06-05 00:00:00 +01:00","2013-06-06 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"297",297,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",5,"µg/m3","2013-06-03 00:00:00 +01:00","2013-06-04 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"298",298,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",4,"µg/m3","2013-06-02 00:00:00 +01:00","2013-06-03 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"299",299,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",5,"µg/m3","2013-05-31 00:00:00 +01:00","2013-06-01 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"300",300,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",9,"µg/m3","2013-05-30 00:00:00 +01:00","2013-05-31 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
